,GSE259348_DMED
RP11-508N22.13,1
RP11-508N22.9,6
RP11-672F9.1,1
RP11-291L22.4,2
IGKV1OR10-1,0
LINC00839,0
ZNF33B,107
LINC01518,0
AL022344.5,0
AL022344.7,1
BMS1,190
RP11-124O11.1,0
LINC01264,0
RET,2
RP11-351D16.3,2
CSGALNACT2,236
RASGEF1A,3
RP11-168L22.2,0
FXYD4,0
HNRNPF,552
RP11-517P14.2,14
ZNF487,69
ZNF239,14
ZNF485,10
ZNF32-AS3,2
RP11-402L1.4,0
ZNF32,219
ZNF32-AS1,0
ZNF32-AS2,1
RP11-402L1.11,0
RP11-272J7.4,0
LINC00619,0
LINC00840,3
RP11-168P8.5,0
RP11-168P8.3,0
LINC00841,0
RP11-20J15.2,0
RP11-20J15.3,9
C10orf142,0
CXCL12,1056
RP11-733D4.1,0
TMEM72-AS1,193
RP11-285G1.2,0
TMEM72,0
RP11-285G1.9,7
RASSF4,181
C10orf10,1050
C10orf25,6
ZNF22,314
RP11-445N18.5,3
OR13A1,0
ALOX5,3
RP11-67C2.2,0
MARCH8,99
ZFAND4,44
FAM21C,127
AGAP4,49
TIMM23,74
NCOA4,290
MSMB,0
ANTXRL,0
AGAP14P,0
ANXA8L1,7
NPY4R,0
GPRIN2,0
SYT15,1
RP11-38L15.3,7
RP11-38L15.2,3
RP11-38L15.8,0
PTPN20,13
GDF10,14
GDF2,0
RBP3,0
ZNF488,12
ANXA8,3
FAM25G,0
RP11-144G6.4,0
AGAP9,12
LINC00864,0
ABC7-42404400C24.1,0
CH17-360D5.2,1
CH17-360D5.1,0
CH17-360D5.3,0
FAM25C,0
FRMPD2,1
MAPK8,731
ARHGAP22,28
RP11-534L6.2,0
WDFY4,14
LRRC18,0
RP11-523O18.1,2
VSTM4,421
FAM170B-AS1,0
FAM170B,0
C10orf128,16
C10orf71-AS1,0
C10orf71,0
DRGX,0
RP11-123B3.2,14
ERCC6,33
PGBD3,0
ERCC6-PGBD3,0
CHAT,0
SLC18A3,0
C10orf53,0
OGDHL,0
PARG,141
TIMM23B,161
LINC00843,9
AGAP6,40
FAM21A,123
ASAH2,4
SGMS1,467
RP11-512N4.2,0
SGMS1-AS1,36
ASAH2B,17
A1CF,0
RP11-96B5.4,0
PRKG1,14111
RP11-96B5.3,2
RP11-40C11.2,3
CSTF2T,33
PRKG1-AS1,39
DKK1,1
LINC01468,0
RP11-556E13.1,0
MBL2,0
RP11-319F12.2,0
RP11-71J2.1,0
PCDH15,2
RP11-257I14.1,0
RP11-598C10.2,0
RP11-598C10.1,0
MTRNR2L5,0
ZWINT,9
IPMK,127
CISD1,186
RP11-179B15.5,1
RP11-179B15.6,0
UBE2D1,323
TFAM,254
BICC1,212
LINC00844,19
PHYHIPL,49
FAM13C,312
RP11-443O13.3,0
RP11-135D11.2,1
SLC16A9,60
MRLN,0
CCDC6,302
LINC01553,0
ANK3,91
RP11-388P9.2,1
RP11-388P9.3,0
RP11-131N11.4,0
CDK1,4
RHOBTB1,40
LINC00845,0
TMEM26,9
TMEM26-AS1,1
C10orf107,113
RP11-63A2.2,0
RP11-491H19.1,0
ARID5B,3834
RTKN2,9
RP11-120C12.3,0
ZNF365,15
RP11-436D10.3,4
ADO,32
EGR2,66
RP11-144G16.1,0
NRBF2,137
JMJD1C,2210
JMJD1C-AS1,6
REEP3,741
RP11-170M17.1,11
RP11-174J11.1,0
RP11-179K3.2,0
RP11-252C24.3,0
RP11-428G2.1,0
LINC01515,24
CTNNA3,551
RP11-210G22.1,0
LRRTM3,36
RP11-344A5.1,0
DNAJC12,33
RP11-57G10.8,0
SIRT1,316
HERC4,669
MYPN,0
ATOH7,0
RP11-153K11.3,1
PBLD,76
HNRNPH3,1026
RUFY2,292
DNA2,20
SLC25A16,129
TET1,138
CCAR1,391
STOX1,93
DDX50,304
DDX21,499
KIF1BP,268
SRGN,300
VPS26A,356
SUPV3L1,82
RP11-227H15.4,0
HKDC1,0
RP11-227H15.5,0
HK1,312
TACR2,7
TSPAN15,26
NEUROG3,0
RP11-343J3.2,0
C10orf35,7
RP11-242G20.1,0
COL13A1,105
RP11-262I2.2,0
H2AFY2,70
AIFM2,42
TYSND1,32
SAR1A,276
PPA1,454
NPFFR1,0
LRRC20,8
EIF4EBP2,259
NODAL,6
PALD1,109
PRF1,0
ADAMTS14,1
TBATA,0
SGPL1,93
PCBD1,440
RP11-432J9.3,0
RP11-432J9.6,0
UNC5B,25
UNC5B-AS1,1
SLC29A3,7
CDH23,21
CDH23-AS1,0
C10orf105,0
C10orf54,176
PSAP,1349
RP11-472G21.2,0
CHST3,186
RP11-150D20.5,0
SPOCK2,6
ASCC1,191
ANAPC16,1695
DDIT4,724
RP11-442H21.2,0
DNAJB12,174
MICU1,403
RP11-167P22.3,0
MCU,449
OIT3,1
PLA2G12B,0
P4HA1,571
RP11-344N10.2,1
RP11-344N10.5,5
NUDT13,21
RP11-152N13.16,2
ECD,210
FAM149B1,80
DNAJC9,196
DNAJC9-AS1,2
MRPS16,202
RP11-152N13.5,13
CFAP70,36
ANXA7,646
RP11-537A6.9,0
MSS51,7
PPP3CB,405
USP54,93
RP11-464F9.20,4
RP11-464F9.22,2
MYOZ1,77
SYNPO2L,9
RP11-464F9.21,8
AGAP5,13
RP11-574K11.29,4
SEC24C,72
FUT11,77
CHCHD1,193
ZSWIM8,151
RP11-574K11.31,0
ZSWIM8-AS1,0
NDST2,1
CAMK2G,530
RP11-574K11.5,1
RP11-574K11.8,1
PLAU,50
C10orf55,0
VCL,2369
AP3M1,131
ADK,522
RP11-46O21.2,2
RP11-222G7.2,1
KAT6B,928
RP11-77G23.2,11
RP11-77G23.5,0
DUPD1,0
DUSP13,0
SAMD8,333
VDAC2,900
COMTD1,71
ZNF503-AS1,2
RP11-399K21.11,17
ZNF503,377
ZNF503-AS2,17
RP11-399K21.13,7
RP11-399K21.14,0
RP11-399K21.10,0
C10orf11,959
AC013286.1,0
RP11-369F10.2,0
RP11-325D15.2,1
KCNMA1,1166
KCNMA1-AS1,25
KCNMA1-AS2,0
RP11-328K22.1,0
KCNMA1-AS3,2
RP13-39P12.3,3
DLG5,182
RP11-126H7.4,0
POLR3A,95
RPS24,11057
RP11-157J13.1,0
RP11-90J7.3,1
LINC00856,1
RP11-90J7.2,0
RP11-90J7.4,0
RP11-17G2.1,0
RP11-31E13.2,0
ZMIZ1-AS1,13
RP11-481G8.2,0
ZMIZ1,201
PPIF,76
ZCCHC24,163
RP11-342M3.5,2
RP11-342M3.1,0
EIF5AL1,5
SFTPA2,1
SFTPA1,0
RP11-589B3.6,0
RP11-506M13.3,4
NUTM2B-AS1,385
NUTM2B,0
RP11-182L21.6,51
NUTM2E,0
SFTPD,15
SFTPD-AS1,13
TMEM254-AS1,46
TMEM254,57
PLAC9,3087
ANXA11,739
LINC00857,2
MAT1A,0
RP11-36D19.8,0
DYDC1,1
DYDC2,0
FAM213A,469
TSPAN14,251
RP11-137H2.4,0
SH2D4B,3
RP11-514F8.2,0
NRG3,2
RP11-202D18.2,0
RP11-344L13.2,0
RP11-219F10.1,0
RP11-338I21.1,1
GHITM,519
C10orf99,0
CDHR1,0
LRIT2,0
LRIT1,0
RGR,0
LINC00858,0
CCSER2,520
LINC01519,0
RP11-475D12.1,0
RP11-475D12.2,0
LINC01520,0
GRID1-AS1,2
GRID1,445
RP11-93H12.4,0
WAPL,343
RP11-77P6.2,9
OPN4,3
LDB3,804
RP11-359E3.4,19
BMPR1A,590
MMRN2,36
SNCG,2341
ADIRF,18759
RP11-96C23.15,0
RP11-96C23.10,6
FAM25A,0
GLUD1,462
FAM35A,179
NUTM2A-AS1,219
NUTM2A,0
LINC00863,23
NUTM2D,0
LINC00864-1,0
MINPP1,71
RP11-57C13.4,0
RP11-57C13.6,1
RP11-57C13.3,2
PAPSS2,92
ATAD1,298
KLLN,10
PTEN,2583
RNLS,247
LIPJ,0
LIPF,0
LIPK,0
LIPN,0
LIPM,0
ANKRD22,0
STAMBPL1,62
ACTA2-AS1,18
ACTA2,25125
FAS,220
CH25H,295
LIPA,128
RP11-149I23.3,1
IFIT2,54
IFIT3,56
IFIT1B,0
IFIT1,43
IFIT5,76
SLC16A12,32
SLC16A12-AS1,1
PANK1,68
RP11-80H5.2,1
RP11-80H5.6,0
RP11-80H5.9,7
RP11-80H5.7,1
KIF20B,181
LINC00865,5
LINC01374,0
LINC01375,0
RP11-15K3.1,19
RP11-94M14.2,0
RP11-94M14.3,0
RP11-30G13.1,0
HTR7,31
RPP30,166
ANKRD1,0
RP11-236B18.2,0
RP11-236B18.5,0
LINC00502,1
PCGF5,838
HECTD2,352
PPP1R3C,292
TNKS2-AS1,5
TNKS2,309
FGFBP3,22
RP11-402D21.2,1
BTAF1,344
CPEB3,175
MARCH5,236
IDE,139
KIF11,11
HHEX,8
EXOC6,219
RP11-348J12.2,0
CYP26C1,0
RP11-348J12.5,0
CYP26A1,0
MYOF,1162
CEP55,0
FFAR4,0
RBP4,1
PDE6C,4
FRA10AC1,334
LGI1,4
RP11-437J2.4,0
SLC35G1,22
PLCE1,1167
PLCE1-AS2,3
RP11-391J2.3,13
PLCE1-AS1,3
RP11-76P2.4,0
NOC3L,237
TBC1D12,185
HELLS,58
CYP2C18,0
RP11-400G3.5,1
CYP2C19,0
CYP2C9,0
CYP2C8,0
RP11-310E22.5,4
ACSM6,9
RP11-310E22.4,3
PDLIM1,852
SORBS1,1722
ALDH18A1,50
TCTN3,136
ENTPD1,508
ENTPD1-AS1,781
AL365273.1,0
RP11-248J23.7,411
C10orf131,35
RP11-690P14.4,52
CC2D2B,3
CCNJ,26
ZNF518A,360
BLNK,3
RP11-35J23.1,0
DNTT,0
OPALIN,0
TLL2,5
TM9SF3,663
PIK3AP1,1
LCOR,316
C10orf12,26
RP11-175O19.4,9
SLIT1,3
SLIT1-AS1,0
ARHGAP19-SLIT1,1
ARHGAP19,12
FRAT1,0
FRAT2,9
RP11-452K12.4,1
RRP12,45
RP11-452K12.7,1
PGAM1,748
EXOSC1,145
ZDHHC16,44
MMS19,115
UBTD1,34
ANKRD2,0
HOGA1,5
RP11-548K23.11,0
C10orf62,0
MORN4,69
PI4K2A,23
AVPI1,54
MARVELD1,205
ZFYVE27,86
SFRP5,1
LINC00866,0
GOLGA7B,0
CRTAC1,13
R3HCC1L,140
LOXL4,14
RP11-34A14.3,0
PYROXD2,54
HPS1,162
HPSE2,1930
CNNM1,16
GOT1,83
RP11-441O15.3,6
LINC01475,0
RP11-129J12.1,0
NKX2-3,0
SLC25A28,143
RP11-85A1.3,7
RP11-483F11.7,0
ENTPD7,29
CUTC,135
COX15,106
ABCC2,1
DNMBP,119
DNMBP-AS1,8
CPN1,0
ERLIN1,66
CHUK,76
RP11-316M21.7,0
RP11-316M21.6,0
CWF19L1,81
BLOC1S2,60
PKD2L1,0
RP11-34D15.2,0
SCD,7
OLMALINC,10
RP11-285F16.1,0
WNT8B,0
SEC31B,32
RP11-411B6.6,2
NDUFB8,1046
HIF1AN,73
PAX2,0
RP11-179B2.2,10
SLF2,189
RP11-108L7.14,0
MRPL43,534
SEMA4G,13
RP11-108L7.4,0
C10orf2,9
LZTS2,214
PDZD7,16
SFXN3,75
RP11-108L7.15,0
KAZALD1,60
TLX1,0
LINC01514,0
LBX1,0
RP11-107I14.4,1
RP11-107I14.2,0
RP11-107I14.5,0
BTRC,290
DPCD,62
POLL,54
FBXW4,258
RP11-190J1.3,0
FGF8,0
NPM3,26
MGEA5,639
KCNIP2-AS1,8
KCNIP2,3
C10orf76,193
HPS6,21
LDB1,76
PPRC1,114
NOLC1,335
ELOVL3,3
PITX3,6
GBF1,386
NFKB2,72
PSD,6
FBXL15,143
CUEDC2,286
C10orf95,1
MFSD13A,9
ACTR1A,144
RP11-18I14.11,0
SUFU,57
RP11-47A8.5,36
TRIM8,162
ARL3,626
SFXN2,26
WBP1L,171
CYP17A1,0
CYP17A1-AS1,5
RP11-753C18.12,2
BORCS7,299
BORCS7-ASMT,38
AS3MT,0
RP11-724N1.1,2
CNNM2,524
NT5C2,500
RPEL1,0
INA,0
PCGF6,72
TAF5,36
USMG5,1445
PDCD11,74
CALHM2,152
RP11-225H22.7,1
RP11-225H22.4,2
CALHM1,0
CALHM3,0
NEURL1-AS1,1
NEURL1,58
SH3PXD2A,472
RP11-416N2.4,0
SH3PXD2A-AS1,0
OBFC1,61
SLK,537
COL17A1,0
SFR1,47
CFAP43,9
GSTO1,493
GSTO2,31
ITPRIP,99
RP11-127L20.5,0
RP11-127L20.3,0
CFAP58-AS1,0
CFAP58,4
RP11-127O4.3,0
RP11-127O4.2,0
SORCS3,2
SORCS3-AS1,0
RP11-56I23.1,0
RP11-298H24.1,0
SORCS1,9
LINC01435,2
RP11-163F15.1,0
RP11-655H13.2,0
XPNPEP1,61
ADD3,409
MXI1,875
RP11-549L6.3,0
SMNDC1,233
RP11-525A16.4,5
DUSP5,44
SMC3,571
RBM20,42
RP11-313D6.3,1
PDCD4-AS1,6
PDCD4,383
BBIP1,227
RP11-348N5.9,0
RP11-348N5.7,1
SHOC2,566
ADRA2A,633
RP11-381K7.1,0
GPAM,43
TECTB,0
ACSL5,12
RP11-324O2.3,16
ZDHHC6,93
VTI1A,551
RP11-25C19.3,1
TCF7L2,1455
RP11-57H14.2,31
HABP2,0
NRAP,0
CASP7,59
RP11-211N11.5,0
PLEKHS1,0
DCLRE1A,13
NHLRC2,277
ADRB1,0
CCDC186,320
TDRD1,2
VWA2,1
CTB-1144G6.6,1
AFAP1L2,114
ABLIM1,99
RP11-106M7.1,0
FAM160B1,130
TRUB1,59
RP11-383C6.2,1
ATRNL1,44
GFRA1,134
CCDC172,0
PNLIPRP3,0
PNLIP,2
PNLIPRP1,0
C10orf82,2
RP11-498B4.5,1
HSPA12A,116
RP11-539I5.1,8
ENO4,7
SHTN1,21
VAX1,0
MIR3663HG,0
KCNK18,0
RP11-501J20.5,0
SLC18A2,4
RP11-129M16.4,1
PDZD8,270
CTA-109P11.4,4
EMX2OS,126
EMX2,83
CTA-109P11.1,0
RP11-328K15.1,0
RP11-355F22.1,0
RAB11FIP2,248
RP11-354M20.3,11
CASC2,19
FAM204A,563
LINC00867,0
PRLHR,0
CACUL1,209
RP11-498J9.2,0
NANOS1,12
EIF3A,883
FAM45A,96
SFXN4,59
PRDX3,427
GRK5,936
RP11-79M19.2,11
RGS10,103
TIAL1,326
BAG3,829
INPP5F,202
MCMBP,217
SEC23IP,142
PLPP4,1
LINC01561,0
WDR11-AS1,12
WDR11,186
RP11-95I16.4,0
RP11-95I16.2,0
RP11-95I16.6,0
LINC01153,0
FGFR2,12
RP11-62L18.3,0
RP11-78A18.2,0
ATE1,309
ATE1-AS1,32
RP11-500G22.4,3
NSMCE4A,182
RP11-500G22.5,0
TACC2,392
BTBD16,11
PLEKHA1,196
ARMS2,0
HTRA1,437
DMBT1,0
C10orf120,0
CUZD1,2
FAM24B,10
FAM24A,0
C10orf88,49
PSTK,65
IKZF5,91
ACADSB,140
HMX3,0
HMX2,0
BUB3,268
RP11-282I1.1,8
RP11-338O1.2,0
RP11-282I1.2,0
GPR26,0
CPXM2,41
RP11-391M7.3,0
CHST15,154
OAT,836
NKX1-2,0
LHPP,86
RP11-12J10.3,1
FAM53B,34
RP11-12J10.4,0
FAM53B-AS1,5
METTL10,94
FAM175B,112
ZRANB1,237
RP11-298J20.3,2
CTBP2,856
RP11-59C5.3,50
RP11-151A10.3,3
TEX36-AS1,0
TEX36,2
FLJ37035,4
RP11-383C5.8,0
EDRF1,175
EDRF1-AS1,3
MMP21,0
UROS,127
BCCIP,186
DHX32,123
FANK1,24
FANK1-AS1,0
ADAM12,5
LINC00601,0
C10orf90,1
DOCK1,566
RP11-223P11.3,10
RP11-223P11.2,0
FAM196A,58
NPS,0
FOXI2,0
CLRN3,0
PTPRE,17
RP11-4C20.3,0
MKI67,28
LINC01163,0
RP11-264E18.1,0
RP11-442O18.2,0
RP11-442O18.1,0
RP11-168C9.1,0
MGMT,682
RP11-109A6.2,0
RP11-109A6.3,8
EBF3,88
RP11-234G16.4,0
RP11-234G16.5,3
LINC00959,12
RP11-500G10.5,2
GLRX3,234
RP11-540N6.1,0
TCERG1L,0
TCERG1L-AS1,0
LINC01164,0
ABC11-4932300O16.1,0
PPP2R2D,175
BNIP3,223
RP11-45A17.2,6
RP11-45A17.4,2
JAKMIP3,2
RP11-140A10.3,0
DPYSL4,4
STK32C,30
LRRC27,30
PWWP2B,23
RP11-432J24.2,3
RP11-432J24.3,0
C10orf91,0
RP11-432J24.5,2
LINC01165,0
INPP5A,642
NKX6-2,0
CFAP46,5
LINC01166,0
LINC01167,0
LINC01168,0
ADGRA1,0
ADGRA1-AS1,0
KNDC1,1
UTF1,0
VENTX,1
MIR202HG,0
RP13-49I15.6,0
ADAM8,3
TUBGCP2,254
RP11-122K13.12,0
ZNF511,194
PRAP1,4
CALY,8
RP11-122K13.7,2
FUOM,49
ECHS1,356
RP11-122K13.15,0
PAOX,29
RP11-108K14.8,3
MTG1,15
SPRN,0
CYP2E1,22
RP11-108K14.12,0
SYCE1,0
FRG2B,0
FAM138D,0
IQSEC3,1
RP11-598F7.3,0
RP11-598F7.4,0
RP11-598F7.5,12
RP11-598F7.6,23
SLC6A12,0
RP11-283I3.1,0
RP11-283I3.2,0
SLC6A13,2
KDM5A,555
CCDC77,52
B4GALNT3,8
NINJ2,2
RP5-1154L15.1,0
RP11-218M22.1,14
RP11-218M22.2,0
WNK1,823
RAD52,82
RP11-359B12.2,14
ERC1,1032
RP5-951N9.1,0
LINC00942,0
WNT5B,23
FBXL14,51
ADIPOR2,270
CACNA2D4,21
LRTM2,0
RP5-1096D14.3,0
LINC00940,0
DCP1B,59
CACNA1C,3426
RP5-1096D14.6,0
RP1-53O8.2,0
CACNA1C-AS4,0
CACNA1C-AS3,0
CACNA1C-AS2,4
CACNA1C-AS1,18
RP11-986G18.2,0
RP11-885B4.1,18
RP11-885B4.2,0
FKBP4,340
RP4-816N1.6,47
RP4-816N1.7,0
ITFG2,137
NRIP2,225
FOXM1,2
RHNO1,37
TULP3,315
TEAD4,112
RP11-253E3.3,1
TSPAN9,134
RP5-1063M23.1,0
RP5-1063M23.2,0
RP11-476M19.2,0
PRMT8,2
RP11-476M19.3,0
CRACR2A,13
PARP11,123
RP11-664D1.1,2
RP11-320N7.2,0
CCND2-AS1,21
CCND2-AS2,0
CCND2,680
TIGAR,80
FGF23,0
FGF6,1
C12orf4,92
RAD51AP1,9
DYRK4,119
RP11-500M8.7,3
AKAP3,3
NDUFA9,188
RP11-234B24.6,24
RP11-234B24.2,2
GALNT8,10
RP11-234B24.4,0
KCNA6,0
KCNA1,0
RP11-429A20.3,0
RP11-429A20.4,0
KCNA5,177
RP11-319E16.1,0
RP11-1038A11.3,1
RP11-319E16.2,0
RP11-1038A11.2,0
RP11-1038A11.1,0
NTF3,433
ANO2,64
VWF,48
RP3-454B23.1,1
CD9,1845
PLEKHG6,27
TNFRSF1A,360
SCNN1A,2
LTBR,212
RP1-102E24.8,6
CD27,1
TAPBPL,33
VAMP1,54
RP1-102E24.10,0
MRPL51,511
NCAPD2,52
RP5-940J5.3,0
GAPDH,6920
RP5-940J5.9,9
IFFO1,60
RP5-940J5.8,0
NOP2,72
CHD4,778
RP5-940J5.6,50
LPAR5,1
ACRBP,3
ING4,143
RP4-761J14.8,2
ZNF384,67
PIANP,18
RP4-761J14.9,0
COPS7A,175
RP4-761J14.10,0
MLF2,522
PTMS,3029
LAG3,40
CD4,21
GPR162,13
P3H3,83
GNB3,13
CDCA3,1
USP5,76
TPI1,1518
SPSB2,70
LRRC23,454
U47924.32,1
ENO2,121
ATN1,472
C12orf57,2453
U47924.31,5
PTPN6,58
U47924.27,0
U47924.29,0
PHB2,605
EMG1,97
RP3-461F17.3,19
LPCAT3,147
C1S,1117
C1R,1150
C1RL,183
C1RL-AS1,34
ABC12-49244600F4.4,0
RBP5,11
RP11-273B20.1,1
CLSTN3,45
RP11-273B20.3,0
PEX5,67
ACSM4,4
CD163L1,105
CD163,16
APOBEC1,0
GDF3,1
DPPA3,0
CLEC4C,0
NANOGNB,1
NANOG,1
SLC2A14,3
SLC2A3,1580
RP11-69M1.8,3
FOXJ2,61
C3AR1,3
NECAP1,117
CLEC4A,17
ZNF705A,2
FAM66C,62
RP11-266K4.13,0
RP11-266K4.14,6
FAM90A1,0
RP11-266K4.9,1
LINC00937,6
RP11-90D4.3,0
CLEC6A,0
CLEC4D,0
CLEC4E,2
RP11-561P12.5,0
AICDA,0
MFAP5,51
RP11-20D14.3,0
RIMKLB,209
A2ML1-AS1,52
RP11-20D14.6,0
A2ML1-AS2,0
A2ML1,3
RP11-259O18.5,20
PHC1,84
M6PR,315
KLRG1,18
RP11-259O18.4,1
A2M-AS1,16
A2M,4663
PZP,1
LINC00987,20
RP11-118B22.4,2
RP13-735L24.1,1
KLRB1,7
RP11-705C15.4,0
CLEC2D,102
RP11-75L1.1,1
CLECL1,0
CD69,4
KLRF1,1
CLEC2B,43
RP11-290C10.1,0
KLRF2,0
CLEC2A,0
AC091814.2,0
AC091814.3,0
CLEC12A,2
CLEC1B,0
CLEC12B,0
RP11-133L14.5,0
CLEC9A,0
CLEC1A,7
CLEC7A,2
OLR1,0
TMEM52B,1
GABARAPL1,253
RP11-656E20.5,0
KLRD1,25
RP11-277P12.10,0
RP11-277P12.9,1
RP11-277P12.20,8
KLRK1,0
KLRC4-KLRK1,1
KLRC4,0
KLRC3,0
RP11-277P12.6,0
KLRC2,0
KLRC1,1
EIF2S3L,2
RP11-291B21.2,0
MAGOHB,99
STYK1,5
YBX3,3094
RP13-81N3.2,0
TAS2R7,0
TAS2R8,0
TAS2R9,0
PRH1,29
TAS2R10,0
PRR4,124
PRH1-PRR4,0
TAS2R13,0
PRH2,0
TAS2R14,24
TAS2R50,1
TAS2R20,0
TAS2R19,0
TAS2R31,5
TAS2R46,0
TAS2R43,1
TAS2R30,4
SMIM10L1,206
TAS2R42,0
RP11-711K1.8,64
PRB3,0
PRB4,0
PRB1,1
PRB2,11
RP11-434C1.2,5
LINC01252,29
ETV6,988
BCL2L14,64
LRP6,259
MANSC1,49
LOH12CR2,38
BORCS5,101
DUSP16,186
RP11-253I19.3,17
CREBL2,70
RP11-180M15.6,0
GPR19,0
RP11-180M15.3,1
CDKN1B,368
RP11-180M15.4,7
APOLD1,769
DDX47,10
GPRC5A,128
RP11-392P7.6,6
GPRC5D,0
RP11-392P7.7,0
HEBP1,273
RP11-377D9.3,7
FAM234B,13
GSG1,10
EMP1,1339
LINC01559,1
GRIN2B,3
RP11-4N23.4,0
RP11-134N1.2,0
ATF7IP,524
PLBD1,24
RP11-502N13.2,0
PLBD1-AS1,4
GUCY2C,0
RP11-174G6.1,20
HIST4H4,13
H2AFJ,1004
WBP11,458
C12orf60,54
SMCO3,1
ART4,23
RP11-233G1.4,0
MGP,7387
ERP27,2
ARHGDIB,574
PDE6H,0
LINC01489,2
RERG,2221
RERG-AS1,0
PTPRO,8
EPS8,4737
RP11-6B19.1,5
RP11-6B19.2,0
STRAP,540
DERA,209
SLC15A5,1
MGST1,58
LMO3,38
RP11-424M22.3,0
RP11-69C13.1,0
RP11-239A17.1,0
RP11-871F6.3,2
RP11-606D9.1,0
RERGL,4793
PIK3C2G,2
PLCZ1,0
RP11-361I14.2,0
CAPZA3,0
PLEKHA5,648
AEBP2,712
RP11-405A12.2,21
RP11-664H17.1,21
CTC-465D4.1,0
RP11-284H19.1,11
PDE3A,3377
SLCO1C1,135
SLCO1B3,0
RP11-545J16.1,1
SLCO1B7,0
RP11-125O5.2,1
SLCO1B1,0
SLCO1A2,0
IAPP,0
PYROXD1,149
RECQL,222
GOLT1B,129
SPX,3
GYS2,2
LDHB,1367
RP11-59N23.3,2
RP11-59N23.1,1
KCNJ8,120
ABCC9,472
RP11-729I10.2,29
CMAS,166
ST8SIA1,37
RP11-73M14.1,0
C2CD5,244
RP11-359J14.2,1
RP11-268P4.5,0
RP11-268P4.4,10
ETNK1,447
RP11-114G22.1,35
RP11-449P1.1,0
RP11-153K16.1,0
RP11-153K16.2,0
SOX5,1642
RP11-437F6.1,0
RP11-444D3.1,1761
RP11-778H2.1,11
LINC00477,0
RP11-625L16.1,0
BCAT1,7
RP11-625L16.3,0
RP11-662I13.2,0
C12orf77,0
RP11-713N11.5,0
LRMP,2
RP11-713N11.4,0
RP11-713N11.6,0
CASC1,19
LYRM5,220
KRAS,299
RP11-295I5.3,5
RP11-295I5.4,1
RP11-707G18.1,17
LMNTD1,1
RP11-443N24.2,1
RP11-443N24.3,0
RP11-443N24.4,0
RASSF8-AS1,54
RASSF8,360
BHLHE41,25
SSPN,822
RP11-283G6.3,1
RP11-283G6.4,7
RP11-283G6.5,1
RP11-283G6.6,0
RP11-612B6.1,0
RP11-513G19.1,2
ITPR2,217
RP11-666F17.1,6
ASUN,58
FGFR1OP2,371
RP11-421F16.3,2
TM7SF3,214
MED21,283
RP11-582E3.6,35
C12orf71,0
RP11-582E3.2,2
STK38L,805
ARNTL2,10
ARNTL2-AS1,1
SMCO2,1
PPFIBP1,508
RP11-709A23.1,0
RP11-1060J15.4,2
REP15,6
RP11-1060J15.9,1
RP11-1060J15.7,0
MRPS35,214
MANSC4,1
RP11-860B13.1,1
KLHL42,273
RP11-860B13.3,0
PTHLH,4
RP11-993B23.3,1
CCDC91,699
RP11-967K21.1,6
RP11-425D17.1,0
RP11-977P2.1,0
RP11-946L16.1,1
FAR2,111
RP11-946L16.2,0
RP11-996F15.4,2
RP11-996F15.2,53
RP11-996F15.5,3
RP11-996F15.6,0
ERGIC2,470
OVCH1-AS1,39
OVCH1,19
TMTC1,613
RP11-310I24.1,0
RP11-776A13.1,0
RP11-776A13.3,0
RP11-155I9.1,0
IPO8,228
CAPRIN2,114
RP11-77I22.2,5
LINC00941,0
TSPAN11,6
RP11-551L14.4,1
RP11-551L14.6,0
DDX11-AS1,14
DDX11,40
OVOS2,0
FAM60A,122
FLJ13224,4
RP11-771K4.1,3
DENND5B,332
DENND5B-AS1,2
METTL20,53
AMN1,189
RP11-467L13.7,274
H3F3C,0
RP11-428G5.5,0
KIAA1551,357
RP11-50I19.2,5
RP11-843B15.2,0
BICD1,251
FGD4,1450
DNM1L,666
RP11-278C7.4,2
YARS2,119
PKP2,1
RP11-267D19.1,0
SYT10,19
RP11-847H18.2,19
ALG10,13
RP11-847H18.3,4
RP11-313F23.3,0
RP11-313F23.4,0
ALG10B,32
RP11-804F13.1,0
CPNE8,273
RP11-396F22.1,4
RP11-554L12.1,0
KIF21A,110
ABCD2,35
C12orf40,18
SLC2A13,252
RP11-476D10.1,0
AC079630.2,0
AC079630.4,37
LRRK2,137
RP11-115F18.1,0
CNTN1,61
PDZRN4,3139
RP11-413B19.2,61
RP11-630C16.1,0
RP11-630C16.2,25
GXYLT1,92
YAF2,534
PPHLN1,419
ZCRB1,612
PRICKLE1,206
RP11-328C8.4,1
RP11-609L23.1,1
RP11-25I15.2,0
RP11-25I15.3,2
RP11-547C5.1,0
RP11-547C5.2,0
RP11-118A3.1,0
ADAMTS20,0
PUS7L,127
IRAK4,97
TWF1,223
TMEM117,310
RP11-46I1.1,0
RP11-499A10.3,0
NELL2,1
DBX2,0
RP11-478B9.1,0
ANO6,1059
RP11-352M15.1,6
RP11-352M15.2,89
ARID2,585
SCAF11,1232
SLC38A1,983
SLC38A2,3784
RP11-474P2.2,8
RP11-96H19.1,717
RP11-474P2.4,6
RP11-474P2.6,3
RP11-446N19.1,5
SLC38A4,19
RP11-618L22.1,0
AMIGO2,217
PCED1B,774
RP11-493L12.3,4
RP11-493L12.4,32
RP11-493L12.7,0
RP11-493L12.5,0
RP1-90J4.1,0
